,trustlist_a_1,trustlist_b_1,trustlist_c_1,trustlist_a_2,trustlist_b_2,trustlist_c_2,trustlist_a,trustlist_b,trustlist_c,treat,y,female,ccpmember,urban,education,agegroup,income,life,pinterest,self_index,confucian_a,confucian_b,confucian_c,confucian_d,china,confucian_all,centraltrust_all,localtrust_all,weight_internet,college,young,high.income,high.life,high.pinterest,high.self,high.china,high.confucian_all
326,NA,2,NA,NA,NA,NA,NA,2,NA,b,2,1,0,1,3,6,5,3,2,2,2,3,3,3,4,2.75,3,2,3.758696,0,0,0,0,0,0,1,1
327,4,NA,NA,NA,NA,NA,4,NA,NA,a,4,1,1,1,6,3,7,4,2,2.666666667,2,2,3,3,4,2.5,3,3,0.100821,1,1,1,1,0,0,1,0
328,4,NA,NA,NA,NA,NA,4,NA,NA,a,4,1,1,1,6,4,8,5,4,3,1,2,2,4,3,2.25,3,2,0.1681787,1,0,1,1,1,1,0,0
329,3,NA,NA,NA,NA,NA,3,NA,NA,a,3,1,0,1,5,4,5,4,2,2.333333333,2,2,2,3,4,2.25,4,3,0.3577848,1,0,0,1,0,0,1,0
330,NA,3,NA,NA,NA,NA,NA,3,NA,b,3,1,0,1,5,3,6,4,3,2.333333333,2,2,2,3,4,2.25,3,3,0.214487,1,1,1,1,1,0,1,0
331,NA,NA,NA,NA,NA,4,NA,NA,4,c,4,0,0,1,6,3,5,4,3,2,2,2,2,2,4,2,4,3,0.1707994,1,1,0,1,1,0,1,0
332,NA,NA,NA,2,NA,NA,2,NA,NA,a,2,1,1,0,5,2,6,5,3,2.333333333,2,4,2,3,5,2.75,4,3,0.100821,1,1,1,1,1,0,1,1
333,2,NA,NA,NA,NA,NA,2,NA,NA,a,2,1,1,1,6,4,7,4,4,3,2,2,2,3,4,2.25,4,2,0.1681787,1,0,1,1,1,1,1,0
334,NA,NA,NA,3,NA,NA,3,NA,NA,a,3,0,0,0,5,3,7,4,3,2.666666667,3,4,3,3,4,3.25,3,3,0.1707994,1,1,1,1,1,0,1,1
335,NA,NA,NA,3,NA,NA,3,NA,NA,a,3,0,0,1,5,4,8,4,3,3.333333333,2,2,2,3,4,2.25,4,3,0.2849104,1,0,1,1,1,1,1,0
336,NA,NA,NA,2,NA,NA,2,NA,NA,a,2,0,0,1,5,3,6,4,3,2.666666667,2,3,2,3,4,2.5,4,3,0.1707994,1,1,1,1,1,0,1,0
337,NA,NA,NA,3,NA,NA,3,NA,NA,a,3,0,1,0,5,9,7,4,3,2,3,3,4,4,5,3.5,3,3,0.1339237,1,0,1,1,1,0,1,1
338,NA,NA,NA,3,NA,NA,3,NA,NA,a,3,0,0,0,5,2,6,5,4,3,2,4,4,4,5,3.5,4,3,0.1707994,1,1,1,1,1,1,1,1
339,NA,NA,4,NA,NA,NA,NA,NA,4,c,4,1,0,1,5,5,7,4,3,3,1,1,2,2,4,1.5,4,3,0.3577848,1,0,1,1,1,1,1,0
340,3,NA,NA,NA,NA,NA,3,NA,NA,a,3,1,0,1,5,4,5,3,4,2.333333333,2,2,4,3,4,2.75,3,3,0.3577848,1,0,0,0,1,0,1,1
341,NA,NA,NA,NA,NA,2,NA,NA,2,c,2,0,0,0,5,2,5,4,3,2.333333333,2,2,2,3,3,2.25,3,3,0.1707994,1,1,0,1,1,0,0,0
342,NA,2,NA,NA,NA,NA,NA,2,NA,b,2,1,1,1,5,3,5,3,3,3,2,2,2,3,3,2.25,3,2,0.100821,1,1,0,0,1,1,0,0
343,NA,NA,NA,NA,2,NA,NA,2,NA,b,2,1,0,1,5,4,6,4,3,2.666666667,2,2,2,3,3,2.25,2,2,0.3577848,1,0,1,1,1,0,0,0
344,NA,NA,NA,2,NA,NA,2,NA,NA,a,2,0,0,1,5,4,6,5,3,2.333333333,2,3,4,4,5,3.25,4,3,0.2849104,1,0,1,1,1,0,1,1
345,NA,NA,NA,3,NA,NA,3,NA,NA,a,3,0,1,0,5,3,4,4,4,2.333333333,2,3,3,4,4,3,4,3,0.0802852,1,1,0,1,1,0,1,1
346,NA,NA,NA,NA,NA,4,NA,NA,4,c,4,1,0,1,4,5,6,4,2,3,3,3,3,3,4,3,3,3,3.758696,0,0,1,1,0,1,1,1
347,NA,NA,NA,3,NA,NA,3,NA,NA,a,3,0,0,1,5,2,7,4,3,2.666666667,3,3,3,3,5,3,4,3,0.1707994,1,1,1,1,1,0,1,1
348,NA,NA,2,NA,NA,NA,NA,NA,2,c,2,0,0,1,5,2,3,2,1,1.666666667,2,2,1,3,2,2,3,2,0.1707994,1,1,0,0,0,0,0,0
349,NA,NA,NA,3,NA,NA,3,NA,NA,a,3,0,0,1,5,5,7,4,2,3.333333333,2,2,3,2,5,2.25,3,3,0.2849104,1,0,1,1,0,1,1,0
350,NA,NA,4,NA,NA,NA,NA,NA,4,c,4,1,0,1,5,3,7,4,3,3,2,2,2,2,4,2,4,3,0.214487,1,1,1,1,1,1,1,0
351,NA,NA,NA,NA,1,NA,NA,1,NA,b,1,1,0,1,5,4,7,4,3,1.333333333,2,2,3,3,4,2.5,3,3,0.3577848,1,0,1,1,1,0,1,0
352,NA,NA,NA,2,NA,NA,2,NA,NA,a,2,1,0,1,5,5,7,3,3,3.333333333,2,1,3,2,3,2,3,2,0.3577848,1,0,1,0,1,1,0,0
353,NA,NA,3,NA,NA,NA,NA,NA,3,c,3,1,0,1,5,3,5,3,3,1.666666667,3,2,3,3,4,2.75,4,4,0.214487,1,1,0,0,1,0,1,1
354,NA,NA,3,NA,NA,NA,NA,NA,3,c,3,0,0,0,5,4,4,5,3,3.333333333,1,2,1,3,4,1.75,4,3,0.2849104,1,0,0,1,1,1,1,0
355,NA,NA,NA,3,NA,NA,3,NA,NA,a,3,1,0,0,5,3,6,4,4,3.666666667,1,2,3,3,4,2.25,3,3,0.214487,1,1,1,1,1,1,1,0
356,NA,NA,NA,3,NA,NA,3,NA,NA,a,3,1,0,0,5,4,5,3,3,3,2,2,3,3,3,2.5,4,2,0.3577848,1,0,0,0,1,1,0,0
357,NA,NA,NA,2,NA,NA,2,NA,NA,a,2,1,1,1,6,4,9,5,4,3,4,2,4,3,5,3.25,4,4,0.1681787,1,0,1,1,1,1,1,1
358,NA,NA,NA,NA,4,NA,NA,4,NA,b,4,1,1,1,6,3,7,4,4,3.333333333,2,2,3,3,4,2.5,4,3,0.100821,1,1,1,1,1,1,1,0
359,NA,3,NA,NA,NA,NA,NA,3,NA,b,3,0,0,1,5,4,6,4,4,3.333333333,1,1,2,3,5,1.75,4,3,0.2849104,1,0,1,1,1,1,1,0
360,NA,5,NA,NA,NA,NA,NA,5,NA,b,5,1,0,1,6,3,8,4,4,4.333333333,2,2,3,3,5,2.5,4,4,0.214487,1,1,1,1,1,1,1,0
361,NA,NA,NA,2,NA,NA,2,NA,NA,a,2,1,0,1,3,6,6,5,4,2.333333333,2,1,2,4,5,2.25,4,4,3.758696,0,0,1,1,1,0,1,0
362,NA,NA,NA,NA,NA,3,NA,NA,3,c,3,0,1,0,5,9,6,4,4,2,4,3,4,3,4,3.5,3,3,0.1339237,1,0,1,1,1,0,1,1
363,NA,NA,NA,NA,4,NA,NA,4,NA,b,4,1,0,1,5,3,8,5,4,2.333333333,2,1,3,3,4,2.25,3,3,0.214487,1,1,1,1,1,0,1,0
364,NA,NA,NA,2,NA,NA,2,NA,NA,a,2,0,0,1,5,6,6,3,2,2,3,2,2,2,3,2.25,3,2,0.2849104,1,0,1,0,0,0,0,0
365,NA,4,NA,NA,NA,NA,NA,4,NA,b,4,0,0,1,5,5,7,5,3,3,3,4,4,3,5,3.5,4,3,0.2849104,1,0,1,1,1,1,1,1
