,female,ccpmember,urban,education,agegroup,income,life,pinterest,self_index,china,confucian_a,confucian_b,confucian_c,confucian_d,termlimit_a_1,termlimit_a_2,termlimit_a,termlist_a_1,termlist_a_2,termlist_a,termlist_b_1,termlist_b_2,termlist_b,weight_internet,treat,y,confucian_all,college,young,high.income,high.life,high.pinterest,high.self,high.china,high.confucian_all,termlimit_a_b
1406,1,0,1,5,2,6,4,3,3.333333333,4,3,2,3,2,NA,4,4,NA,NA,NA,2,NA,2,0.214487,1,2,2.5,1,1,1,1,1,1,1,0,1
1407,1,1,1,4,4,9,5,4,3.666666667,5,3,4,3,4,4,NA,4,NA,NA,NA,NA,4,4,1.766799,1,4,3.5,0,0,1,1,1,1,1,1,1
1408,1,1,1,3,3,7,5,4,3,5,2,4,4,4,NA,4,4,3,NA,3,NA,NA,NA,1.059162,0,3,3.5,0,1,1,1,1,1,1,1,1
1409,1,0,1,4,2,5,5,3,2.333333333,4,2,2,3,3,5,NA,5,NA,NA,NA,NA,3,3,2.253273,1,3,2.5,0,1,0,1,1,0,1,0,1
1411,1,1,1,3,3,7,5,4,3,5,2,3,4,4,NA,4,4,NA,NA,NA,4,NA,4,1.059162,1,4,3.25,0,1,1,1,1,1,1,1,1
1416,1,0,1,4,3,8,5,3,3.666666667,5,2,4,4,4,5,NA,5,NA,2,2,NA,NA,NA,2.253273,0,2,3.5,0,1,1,1,1,1,1,1,1
1418,1,1,1,3,3,7,5,4,3.333333333,5,2,4,4,4,NA,4,4,3,NA,3,NA,NA,NA,1.059162,0,3,3.5,0,1,1,1,1,1,1,1,1
1420,1,1,1,3,3,7,5,4,3.333333333,5,2,3,4,4,NA,4,4,3,NA,3,NA,NA,NA,1.059162,0,3,3.25,0,1,1,1,1,1,1,1,1
1421,1,0,1,2,3,5,4,3,3,4,2,2,3,3,4,NA,4,NA,3,3,NA,NA,NA,2.253273,0,3,2.5,0,1,0,1,1,1,1,0,1
1422,1,1,1,3,3,7,5,4,3.666666667,5,2,3,4,4,NA,4,4,3,NA,3,NA,NA,NA,1.059162,0,3,3.25,0,1,1,1,1,1,1,1,1
1425,0,1,0,4,3,6,4,4,1.666666667,4,3,4,4,3,5,NA,5,NA,NA,NA,NA,1,1,0.8434338,1,1,3.5,0,1,1,1,1,0,1,1,1
1426,1,0,1,2,3,6,4,4,3,4,2,3,3,3,5,NA,5,NA,NA,NA,NA,3,3,2.253273,1,3,2.75,0,1,1,1,1,1,1,1,1
1428,1,0,1,2,3,7,4,4,2,5,3,3,3,3,4,NA,4,NA,NA,NA,NA,4,4,2.253273,1,4,3,0,1,1,1,1,0,1,1,1
1429,0,1,1,5,3,7,3,3,3,3,1,2,2,4,5,NA,5,NA,NA,NA,NA,1,1,0.0802852,1,1,2.25,1,1,1,0,1,1,0,0,1
1430,1,0,1,2,3,8,4,4,2,4,3,3,3,3,5,NA,5,NA,2,2,NA,NA,NA,2.253273,0,2,3,0,1,1,1,1,0,1,1,1
1432,1,1,1,5,4,7,5,3,3,5,2,2,3,4,5,NA,5,NA,NA,NA,NA,4,4,0.1681787,1,4,2.75,1,0,1,1,1,1,1,1,1
1433,1,0,1,5,2,4,3,3,3.333333333,4,2,1,2,3,1,NA,1,NA,NA,NA,NA,2,2,0.214487,1,2,2,1,1,0,0,1,1,1,0,0
1434,0,0,1,6,5,6,5,4,3,3,2,3,3,4,NA,2,2,3,NA,3,NA,NA,NA,0.2849104,0,3,3,1,0,1,1,1,1,0,1,0
1435,0,0,0,5,2,4,4,2,2.666666667,4,2,2,1,3,2,NA,2,NA,NA,NA,NA,3,3,0.1707994,1,3,2,1,1,0,1,0,0,1,0,0
1436,1,0,1,6,5,7,5,4,3,2,2,3,3,4,NA,2,2,NA,NA,NA,3,NA,3,0.3577848,1,3,3,1,0,1,1,1,1,0,1,0
1438,0,1,1,4,9,6,5,4,4,5,1,4,3,4,NA,1,1,NA,NA,NA,1,NA,1,1.40693,1,1,3,0,0,1,1,1,1,1,1,0
1439,1,0,1,5,4,7,4,3,3,2,1,1,1,2,NA,1,1,NA,NA,NA,2,NA,2,0.3577848,1,2,1.25,1,0,1,1,1,1,0,0,0
1440,0,1,1,5,4,9,4,4,4,5,1,3,3,4,5,NA,5,NA,1,1,NA,NA,NA,0.1339237,0,1,2.75,1,0,1,1,1,1,1,1,1
1441,0,0,0,3,5,6,4,2,3.666666667,4,2,2,2,3,4,NA,4,NA,NA,NA,NA,0,0,2.993115,1,0,2.25,0,0,1,1,0,1,1,0,1
1442,1,0,1,5,3,7,4,3,3.666666667,4,2,2,3,4,NA,5,5,2,NA,2,NA,NA,NA,0.214487,0,2,2.75,1,1,1,1,1,1,1,1,1
1444,1,1,1,6,4,6,5,4,2.333333333,4,2,2,1,1,4,NA,4,NA,2,2,NA,NA,NA,0.1681787,0,2,1.5,1,0,1,1,1,0,1,0,1
1445,1,0,1,5,7,8,5,4,3.333333333,5,1,3,4,3,2,NA,2,NA,NA,NA,NA,2,2,0.3577848,1,2,2.75,1,0,1,1,1,1,1,1,0
1446,0,0,0,5,2,6,4,3,4,5,2,1,3,3,NA,2,2,3,NA,3,NA,NA,NA,0.1707994,0,3,2.25,1,1,1,1,1,1,1,0,0
1447,1,1,1,5,7,8,5,4,2.333333333,4,2,4,4,4,4,NA,4,NA,1,1,NA,NA,NA,0.1681787,0,1,3.5,1,0,1,1,1,0,1,1,1
1448,0,1,1,3,3,9,5,2,2.666666667,4,4,3,3,3,4,NA,4,NA,2,2,NA,NA,NA,0.8434338,0,2,3.25,0,1,1,1,0,0,1,1,1
1449,1,0,1,5,4,8,5,4,2.666666667,4,3,4,4,4,2,NA,2,NA,2,2,NA,NA,NA,0.3577848,0,2,3.75,1,0,1,1,1,0,1,1,0
1451,1,0,1,3,3,6,5,3,2.333333333,5,3,3,4,4,5,NA,5,NA,NA,NA,NA,3,3,2.253273,1,3,3.5,0,1,1,1,1,0,1,1,1
1452,1,0,0,3,5,5,3,2,3.333333333,4,2,3,3,4,NA,2,2,NA,NA,NA,1,NA,1,3.758696,1,1,3,0,0,0,0,0,1,1,1,0
1453,1,1,1,5,4,8,5,4,5,5,4,4,4,4,5,NA,5,NA,4,4,NA,NA,NA,0.1681787,0,4,4,1,0,1,1,1,1,1,1,1
1454,1,1,1,5,4,9,5,4,5,5,4,4,4,4,5,NA,5,NA,4,4,NA,NA,NA,0.1681787,0,4,4,1,0,1,1,1,1,1,1,1
1455,0,1,1,6,3,6,4,4,2.333333333,3,1,2,2,2,NA,2,2,1,NA,1,NA,NA,NA,0.0802852,0,1,1.75,1,1,1,1,1,0,0,0,0
1456,1,0,1,3,3,6,5,3,2.333333333,5,3,4,4,3,4,NA,4,NA,NA,NA,NA,3,3,2.253273,1,3,3.5,0,1,1,1,1,0,1,1,1
1457,1,0,1,4,4,8,5,4,2.666666667,5,2,4,4,4,5,NA,5,NA,NA,NA,NA,4,4,3.758696,1,4,3.5,0,0,1,1,1,0,1,1,1
1459,0,0,0,4,3,5,3,3,2.333333333,4,2,3,2,4,NA,2,2,NA,NA,NA,4,NA,4,1.794325,1,4,2.75,0,1,0,0,1,0,1,1,0
1461,0,0,0,4,2,3,2,2,2,5,1,2,3,3,NA,1,1,NA,NA,NA,2,NA,2,1.794325,1,2,2.25,0,1,0,0,0,0,1,0,0
1463,1,1,1,3,4,8,5,4,2.333333333,5,4,3,4,4,4,NA,4,NA,2,2,NA,NA,NA,1.766799,0,2,3.75,0,0,1,1,1,0,1,1,1
1464,1,0,1,2,3,7,2,3,2.333333333,2,3,3,2,3,NA,2,2,3,NA,3,NA,NA,NA,2.253273,0,3,2.75,0,1,1,0,1,0,0,1,0
1466,1,0,1,2,3,6,3,2,2.333333333,3,3,3,2,2,NA,4,4,NA,NA,NA,4,NA,4,2.253273,1,4,2.5,0,1,1,0,0,0,0,0,1
1468,1,0,1,2,3,6,2,2,3.333333333,2,2,3,2,2,NA,2,2,NA,NA,NA,3,NA,3,2.253273,1,3,2.25,0,1,1,0,0,1,0,0,0
1469,1,1,1,3,4,8,5,4,3,5,4,4,4,4,2,NA,2,NA,2,2,NA,NA,NA,1.766799,0,2,4,0,0,1,1,1,1,1,1,0
1471,1,0,1,5,3,4,4,2,3.666666667,3,1,2,2,3,NA,1,1,NA,NA,NA,1,NA,1,0.214487,1,1,2,1,1,0,1,0,1,0,0,0
1472,0,0,1,4,3,1,5,2,2.666666667,4,1,2,2,3,NA,1,1,NA,NA,NA,3,NA,3,1.794325,1,3,2,0,1,0,1,0,0,1,0,0
1474,1,0,1,2,3,8,5,4,2.333333333,5,4,3,4,3,5,NA,5,NA,NA,NA,NA,3,3,2.253273,1,3,3.5,0,1,1,1,1,0,1,1,1
1475,1,0,1,5,6,8,4,3,2.666666667,5,3,2,3,4,NA,4,4,2,NA,2,NA,NA,NA,0.3577848,0,2,3,1,0,1,1,1,0,1,1,1
1476,0,0,1,5,3,3,2,2,3.666666667,2,1,1,1,3,NA,1,1,1,NA,1,NA,NA,NA,0.1707994,0,1,1.5,1,1,0,0,0,1,0,0,0
1477,1,0,1,5,4,7,4,4,2,4,2,2,3,3,NA,2,2,NA,NA,NA,1,NA,1,0.3577848,1,1,2.5,1,0,1,1,1,0,1,0,0
1478,1,0,1,5,4,6,4,3,2,4,2,2,4,3,NA,2,2,NA,NA,NA,1,NA,1,0.3577848,1,1,2.75,1,0,1,1,1,0,1,1,0
1480,0,1,1,5,6,7,5,3,3,5,2,3,3,3,5,NA,5,NA,2,2,NA,NA,NA,0.1339237,0,2,2.75,1,0,1,1,1,1,1,1,1
1481,0,0,1,5,4,7,5,3,3,5,2,2,3,2,4,NA,4,NA,2,2,NA,NA,NA,0.2849104,0,2,2.25,1,0,1,1,1,1,1,0,1
1482,1,0,1,5,4,8,4,3,2,4,2,2,4,3,NA,2,2,NA,NA,NA,1,NA,1,0.3577848,1,1,2.75,1,0,1,1,1,0,1,1,0
1485,1,1,1,5,6,6,5,4,3.333333333,4,2,3,3,3,4,NA,4,NA,2,2,NA,NA,NA,0.1681787,0,2,2.75,1,0,1,1,1,1,1,1,1
1486,1,1,1,5,3,6,4,4,2.666666667,4,2,4,3,2,NA,4,4,NA,NA,NA,2,NA,2,0.100821,1,2,2.75,1,1,1,1,1,0,1,1,1
1488,1,0,1,5,4,7,4,3,1.666666667,4,2,2,4,3,2,NA,2,NA,NA,NA,NA,1,1,0.3577848,1,1,2.75,1,0,1,1,1,0,1,1,0
1490,0,0,1,5,5,5,4,2,2.666666667,4,2,2,2,3,NA,4,4,2,NA,2,NA,NA,NA,0.2849104,0,2,2.25,1,0,0,1,0,0,1,0,1
1492,1,1,1,5,4,7,5,4,3.333333333,5,2,3,4,3,NA,4,4,NA,NA,NA,3,NA,3,0.1681787,1,3,3,1,0,1,1,1,1,1,1,1
1493,0,0,1,5,7,5,4,2,2,4,3,3,3,3,NA,1,1,NA,NA,NA,2,NA,2,0.2849104,1,2,3,1,0,0,1,0,0,1,1,0
1494,1,0,1,3,3,7,5,4,2.333333333,5,4,4,4,4,NA,5,5,NA,NA,NA,3,NA,3,2.253273,1,3,4,0,1,1,1,1,0,1,1,1
1495,1,0,1,5,4,3,5,3,2,5,4,4,4,4,NA,5,5,NA,NA,NA,3,NA,3,0.3577848,1,3,4,1,0,0,1,1,0,1,1,1
1497,0,1,1,4,5,6,4,3,2.666666667,5,3,3,4,3,2,NA,2,NA,NA,NA,NA,1,1,1.40693,1,1,3.25,0,0,1,1,1,0,1,1,0
1498,1,0,1,2,3,6,5,4,2.333333333,4,3,4,4,4,5,NA,5,NA,2,2,NA,NA,NA,2.253273,0,2,3.75,0,1,1,1,1,0,1,1,1
1499,0,1,1,4,5,6,4,3,3.333333333,4,2,2,3,3,NA,2,2,2,NA,2,NA,NA,NA,1.40693,0,2,2.5,0,0,1,1,1,1,1,0,0
1502,1,0,1,5,3,5,5,3,3,4,2,2,2,3,NA,2,2,3,NA,3,NA,NA,NA,0.214487,0,3,2.25,1,1,0,1,1,1,1,0,0
1503,1,0,1,6,2,9,5,4,2.666666667,5,2,4,3,4,5,NA,5,NA,2,2,NA,NA,NA,0.214487,0,2,3.25,1,1,1,1,1,0,1,1,1
1504,1,0,1,6,3,5,5,3,3,4,2,2,2,4,1,NA,1,NA,3,3,NA,NA,NA,0.214487,0,3,2.5,1,1,0,1,1,1,1,0,0
1506,1,0,1,5,3,5,3,2,2.333333333,2,2,2,2,3,1,NA,1,NA,NA,NA,NA,2,2,0.214487,1,2,2.25,1,1,0,0,0,0,0,0,0
1510,1,0,1,5,2,5,4,2,3,2,2,2,2,3,2,NA,2,NA,NA,NA,NA,3,3,0.214487,1,3,2.25,1,1,0,1,0,1,0,0,0
